Successful function calls:
'350-MissionBayHS-Spanish-part2' created: /vmrest/handlers/callhandlers/7f2781bd-e151-4577-9b1a-bbcadcc3c64e
'350-MissionBayHS-English-part1' created: /vmrest/handlers/callhandlers/7245fec7-e6c5-4191-b0cf-29c6b08c7568
'316-UMAA-06-PE_Spanish' created: /vmrest/handlers/callhandlers/a17c5a82-6450-4197-bb2f-371f574d6e64
'316-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/3c3a234b-061d-4754-9f3b-7a921ce5761b
'316-UMAA-05-Admin_Spanish' created: /vmrest/handlers/callhandlers/e556c6db-8fa3-442a-b21c-5fe9233cb295
'316-UMAA-03-Admin_English' created: /vmrest/handlers/callhandlers/302bff1a-4609-47dd-a4e2-1f1d3c18ec7b
'316-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/833cbeb5-05af-4575-a487-87edc12efc8f
'316-UMAA-04-PE_English' created: /vmrest/handlers/callhandlers/765a1055-7104-45af-9cca-923ca1529afd
'369-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/48450993-d319-438f-aad6-65247232601b
'369-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/6ca2883f-8646-460a-9079-874711a6f656
'317-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/a0d0e59f-2e14-45c9-85d2-7bb3000ac0bc
'317-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/6cec6b41-ddd8-4c54-b0f4-dabb16167a1c
'317-UMAA-02-Counselors-English-2020' created: /vmrest/handlers/callhandlers/2014ab30-f8ca-4e48-8d73-5124fac1a413
'317-UMAA-02-Counselors-Spanish-2020' created: /vmrest/handlers/callhandlers/5f5051af-60a3-48ea-87b5-ef5980dcb19b
'227-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/6923d959-22dd-4713-a3b3-438cd783bf37
'320-Counselors-Spanish' created: /vmrest/handlers/callhandlers/21be4476-c032-4f5b-8244-8e964fea873f
'320-Counselors-English' created: /vmrest/handlers/callhandlers/9fe24c68-458e-476c-9175-c769fc69ecd6
'320-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/1eb3f1f4-5bd7-43ca-93ac-2271f527e101
'320-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/2c76daeb-b3d6-4a19-8611-0a8e5840d7a9
'227-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/48767309-b817-4696-ac41-7c0197682eb6
'354-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/51f9fdac-721a-4181-bb05-261113d6dfab
'354-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/33ce7565-df48-4d90-96f6-0713b476770c
'354-UMAA-02-Attendance-English' created: /vmrest/handlers/callhandlers/273e3e3a-17ea-4822-ac32-9f60ec278dce
'255-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/28f84d9e-1777-48a3-87d8-f1e0a7574a8f
'255-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/3ae80e64-76c0-4611-8224-57a54263378f
'263-UMAA-Temp-English-Spring-Break-2021' created: /vmrest/handlers/callhandlers/6344a986-bc65-4a3f-93a3-be28cdf8f733
'263-UMAA-Temp-Spanish-Spring-Break-2021' created: /vmrest/handlers/callhandlers/a571d361-02d0-4070-8c8b-af5b2973da48
'263-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/f8e36a37-37af-4a39-ba34-aa0a82802e02
'263-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/5715b5fe-d1cd-4919-9243-5c08ebeecefb
'325-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/6a2b1219-b0c4-492f-b207-eace4c54f2ff
'325-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/1ffa9211-175b-4bab-9875-af6cd47ca164
'325-MainOfficeOption_English' created: /vmrest/handlers/callhandlers/96700e8c-ef56-4a53-9321-7cbe1aac9477
'325-Counseling_English' created: /vmrest/handlers/callhandlers/b93d2612-4c29-4c2f-9ea0-b8230ec8eb29
'325-Administration' created: /vmrest/handlers/callhandlers/f8835ad6-14dc-4a17-ac5b-c1576b970d66
'325-Report-Speak' created: /vmrest/handlers/callhandlers/f2c5403d-735e-4c07-a3e6-76556164b835
'325-NurseOption' created: /vmrest/handlers/callhandlers/876bda01-a890-407d-a3ac-9082744422cb
'277-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/08b586d5-ffdd-4627-890c-5d125f7ce215
'277-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/50f0f8f1-1158-4a3d-9031-9bf6874629f2
'279-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/1618265a-c31e-4b60-b288-fac5c93b3ef5
'279-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/93fa656d-f497-4692-8c88-33403a902175
'355-UMAA-01-Winter-English-2021' created: /vmrest/handlers/callhandlers/e096d309-20c8-4f56-aa56-cd23588b362e
'355-UMAA-03-Front-Office-English' created: /vmrest/handlers/callhandlers/5c5db80f-51f4-44c3-b47c-e62aec1bd34f
'355-UMAA-03-Front-Office-Spanish' created: /vmrest/handlers/callhandlers/90a30912-2290-4621-abb3-6bbd53f74ffd
'355-UMAA-02-Attendance-English' created: /vmrest/handlers/callhandlers/4e57ee6d-7142-4718-ac5b-b891e81c2019
'355-UMAA-02-Attendance-Spanish' created: /vmrest/handlers/callhandlers/412d3940-61e3-4ea1-98c3-2346066d7d3d
'355-UMAA-Summer-English' created: /vmrest/handlers/callhandlers/fc0fbd11-2c4f-42af-b2ce-9c39acbdb85e
'355-UMAA-Summer-Spanish' created: /vmrest/handlers/callhandlers/aa61b09d-ef32-41b0-afac-069287c1843a
'355-UMAA-04-Counselor-Summer-English' created: /vmrest/handlers/callhandlers/d06a7cb4-81c4-4b1c-b97b-e18bbb1ec56f
'355-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/b6167aab-9d8f-4ac7-90b2-72b6516f9771
'355-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/4a928f04-d8b3-4ef0-9073-13f678f3b06d
'355-Counselors-Spanish' created: /vmrest/handlers/callhandlers/bf5ee087-43ba-4e2a-a99d-76010ad4e0c2
'355-VP-Spanish' created: /vmrest/handlers/callhandlers/6765ebf1-7c2e-4093-a505-9f48286946da
'355-VP-English' created: /vmrest/handlers/callhandlers/913ff859-1a0f-42dc-ab57-657de626c952
'355-Counselors-English' created: /vmrest/handlers/callhandlers/f9db044a-0e30-4e47-bba8-db89b50a52fb
'295-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/97891e64-60f9-4759-947d-4ebb842ff9ae
'295-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/0b082354-dd44-4e6f-8ada-b052617597e4
'295-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/f773b534-2c1b-4181-a8aa-1a887c241bf9
'295-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/09408585-c3fb-44bc-98ed-2d8b9e3a7f02
'297-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/df6c9742-faea-4bf4-9b2d-90cbf7512235
'297-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/a2239606-ad62-46f1-af60-8b66f7a0535e
'061-UMAA-01-Main_Spanish' set with key: 0 and mapping: 800613021
'061-UMAA-01-Main_Spanish' set with key: 2 and mapping: 800613021
'061-UMAA-01-Main_Spanish' set with key: 3 and mapping: 800613021
'061-UMAA-01-Main_Spanish' set with key: 4 and mapping: 800613050
'061-UMAA-01-Main_Spanish' set with key: 6 and mapping: 800613020
'061-UMAA-01-Main_Spanish' transfer rule set
'061-UMAA-01-Main_Spanish' after greeting action set
'061-UMAA-01-Main_English' set with key: 0 and mapping: 800613020
'061-UMAA-01-Main_English' set with key: 2 and mapping: 800613020
'061-UMAA-01-Main_English' set with key: 4 and mapping: 800613050
'061-UMAA-01-Main_English' set with key: 5 and mapping: 800613021
'061-UMAA-01-Main_English' set with key: 6 and mapping: 800613056
'061-UMAA-01-Main_English' set with key: 7 and mapping: 800613070
'061-UMAA-01-Main_English' set with key: 8 and mapping: 800613060
'061-UMAA-01-Main_English' transfer rule set
'061-UMAA-01-Main_English' after greeting action set
'061-UMAA-01-Main_English' greeting uploaded for Standard
061-UMAA-01-Main_English DTMFAccessId set with 800613000
'808-UMAA-02-Main_English' set with key: 1 and mapping: 808083001
'808-UMAA-02-Main_English' set with key: 2 and mapping: 808083002
'808-UMAA-02-Main_English' after greeting action set
'808-UMAA-02-Main_English' greeting uploaded for Standard
'808-UMAA-01-Main_English' set with key: 1 and mapping: 808083020
'808-UMAA-01-Main_English' set with key: 2 and mapping: 808083050
'808-UMAA-01-Main_English' set with key: 3 and mapping: 7eed6d32-a38f-4699-a72e-b1c80b06b741
'808-UMAA-01-Main_English' set with key: 4 and mapping: 808083501
'808-UMAA-01-Main_English' after greeting action set
'808-UMAA-01-Main_English' greeting uploaded for Standard
808-UMAA-01-Main_English DTMFAccessId set with 808083500
'332-UMAA-08-Admistrative-Aide-Spanish' set with key: 0 and mapping: 803323020
'332-UMAA-08-Admistrative-Aide-Spanish' set with key: 1 and mapping: 803323024
'332-UMAA-08-Admistrative-Aide-Spanish' set with key: 2 and mapping: 803323022
'332-UMAA-08-Admistrative-Aide-Spanish' transfer rule set
'332-UMAA-08-Admistrative-Aide-Spanish' after greeting action set
'332-UMAA-08-Admistrative-Aide-Spanish' greeting uploaded for Standard
'332-UMAA-08-Admistrative-English' set with key: 1 and mapping: 803323024
'332-UMAA-08-Admistrative-English' set with key: 2 and mapping: 803323022
'332-UMAA-08-Admistrative-English' after greeting action set
'332-UMAA-08-Admistrative-English' greeting uploaded for Standard
'332-UMAA-07-TechSuport-Finance-Registrar-English' set with key: 1 and mapping: 803323025
'332-UMAA-07-TechSuport-Finance-Registrar-English' set with key: 2 and mapping: 803323026
'332-UMAA-07-TechSuport-Finance-Registrar-English' set with key: 3 and mapping: 803322201
'332-UMAA-07-TechSuport-Finance-Registrar-English' after greeting action set
'332-UMAA-07-TechSuport-Finance-Registrar-English' greeting uploaded for Standard
'332-UMAA-07-TechSuport-Finance-Registrar-Spanish' set with key: 0 and mapping: 803323020
'332-UMAA-07-TechSuport-Finance-Registrar-Spanish' set with key: 1 and mapping: 803323025
'332-UMAA-07-TechSuport-Finance-Registrar-Spanish' set with key: 2 and mapping: 803323026
'332-UMAA-07-TechSuport-Finance-Registrar-Spanish' set with key: 3 and mapping: 803322201
'332-UMAA-07-TechSuport-Finance-Registrar-Spanish' transfer rule set
'332-UMAA-07-TechSuport-Finance-Registrar-Spanish' after greeting action set
'332-UMAA-07-TechSuport-Finance-Registrar-Spanish' greeting uploaded for Standard
'332-UMAA-06-Enrollment-English' set with key: 1 and mapping: 803322201
'332-UMAA-06-Enrollment-English' set with key: 2 and mapping: 803323024
'332-UMAA-06-Enrollment-English' set with key: 3 and mapping: 803323020
'332-UMAA-06-Enrollment-English' set with key: 4 and mapping: 803323025
'332-UMAA-06-Enrollment-English' after greeting action set
'332-UMAA-06-Enrollment-English' greeting uploaded for Standard
'332-UMAA-06-Enrollment-Spanish' set with key: 0 and mapping: 803323020
'332-UMAA-06-Enrollment-Spanish' set with key: 1 and mapping: 803322201
'332-UMAA-06-Enrollment-Spanish' set with key: 2 and mapping: 803323024
'332-UMAA-06-Enrollment-Spanish' set with key: 3 and mapping: 803323020
'332-UMAA-06-Enrollment-Spanish' set with key: 4 and mapping: 803323025
'332-UMAA-06-Enrollment-Spanish' transfer rule set
'332-UMAA-06-Enrollment-Spanish' after greeting action set
'332-UMAA-06-Enrollment-Spanish' greeting uploaded for Standard
'332-UMAA-01-Main_English' set with key: 0 and mapping: 803326003
'332-UMAA-01-Main_English' set with key: 1 and mapping: 38cebcd8-370c-4d3b-8c7c-d9e19591c1a3
'332-UMAA-01-Main_English' set with key: 2 and mapping: 803323020
'332-UMAA-01-Main_English' set with key: 3 and mapping: 803323020
'332-UMAA-01-Main_English' set with key: 4 and mapping: 803323050
'332-UMAA-01-Main_English' set with key: 5 and mapping: 542943b4-686c-4750-a225-bb701ed14532
'332-UMAA-01-Main_English' set with key: 6 and mapping: 38b5eb76-8492-4b15-91a2-250b37c0d422
