Successful function calls:
'171-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/38a67472-471c-4d37-94ff-f7913c084ca3
'171-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/c7e3c32a-a51d-441e-b523-add21e1e37b7
'171-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/021291f7-7718-4819-a61b-bb0ec08ed348
'171-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/6ab8ab4d-caa7-4d04-9051-84bbe8883d94
'175-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/e8636796-6bfd-4688-bfd2-3117c6c1e721
'177-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/db19cd12-90d3-4468-992f-24489ebcc5f0
'177-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/6b2e9d60-7193-4914-b031-98e0af379bae
'177-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/6672b287-814a-4f44-ad6d-d6a7c1e561bc
'177-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/9357df49-f839-4c23-85ca-a941847537f9
'177-UMAA-LMEC-L-option_English' created: /vmrest/handlers/callhandlers/c9fe4644-99a2-4909-a860-87c170fa5e1b
'177-UMAA-LMEC-Main_English' created: /vmrest/handlers/callhandlers/3aab0a32-d858-4ac7-8e07-92c1a3f6e5c7
'177-UMAA-LMEC-Main_Spanish' created: /vmrest/handlers/callhandlers/b433cabe-c7dc-42dd-ae2e-7c10a97a774c
'177-UMAA-02-Main_English' created: /vmrest/handlers/callhandlers/3d3d25f7-7790-424f-8b5e-7bcb8d4d537e
'177-UMAA-03-logan_English' created: /vmrest/handlers/callhandlers/d2b4c834-9dbc-4760-aa23-8d7bba0422a4
'177-UMAA-03-logan_Spanish' created: /vmrest/handlers/callhandlers/80279247-2a10-43b3-a318-e14202227a45
'177-UMAA-01 Main-Spanish-' created: /vmrest/handlers/callhandlers/a56b59e3-e204-427c-bd28-ed6d8a840c31
'179-UMAA-Main_English' created: /vmrest/handlers/callhandlers/eccbecfd-bf6c-49c0-943f-cfc71704219b
'179-UMAA-Main_English-02' created: /vmrest/handlers/callhandlers/d0464a74-eeb7-4487-8e17-4282cc718d76
'179-UMAA-Main_Port-01' created: /vmrest/handlers/callhandlers/26406b6d-115b-4788-91a1-f8dee0811718
'185-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/1d4ee017-a651-4d9b-935e-a98217d7a309
'185-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/5e178e83-0ca9-4dd2-b691-9b268354c4a8
'185-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/40dca2cb-2c7a-4db8-a716-a982a20d01bd
'185-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/4e83032a-1258-45cd-9487-636b7a42d7e6
'195-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/aa44d686-c12a-47ca-8fa6-ebd2caaf08e6
'195-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/5ae1e56e-fcbb-4b60-a6ff-6d3e527483d9
'195-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/40182445-44b2-4080-ace2-313ab4134268
'195-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/54c06dd2-f032-4605-afa5-560b2aa1a53a
'197-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/a52d89b9-c186-4a6f-a8b3-1f2c8fd7be75
'197-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/98025eb2-da20-450b-ac2d-a947e5b741b4
'197-UMAA-Summer-English-2023' created: /vmrest/handlers/callhandlers/6ca4ee58-f9a6-4068-b670-076c563ecd09
'199-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/6d89532d-1495-4329-a415-1747b401d130
'199-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/894b0272-c914-431b-81ed-0082e85283bf
'200-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/343b2bfc-54d9-4339-8b80-c348c15c5c02
'200-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/1e01335c-52e1-4f1f-a52b-a7a58d94b28b
'200-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/894ccf1d-da0f-48fc-aa3b-6afc81a2eb30
'200-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/68710eba-8ec3-4ff7-8a0a-0cca313e9ac6
'201-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/da15c7e1-c125-49a9-a9a5-2a37269d5b92
'201-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/597222c6-29ea-4486-8aff-b22515332afa
'203-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/47dee8fd-19ea-4824-9a12-03ff93bab0cc
'203-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/001ff138-cd48-4ed2-9724-90b4e648a1a3
'206-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/1043f67a-7211-4c8d-a33f-d9ab1d424e0e
'206-UMAA-01-Main_English_Night' created: /vmrest/handlers/callhandlers/6955e805-f625-4df5-8681-14b1249856ec
'206-UMAA-01-Main_Spainsh' created: /vmrest/handlers/callhandlers/35b4f3ac-5937-4667-9c97-fb9f8189a048
'206-UMAA-01-Main_Spainsh_Night' created: /vmrest/handlers/callhandlers/23f3d2c3-7557-4451-8f31-18c2ff7d20fa
'210-UMAA-02-Main_English' created: /vmrest/handlers/callhandlers/4adc3a82-cac2-4e84-aee6-dec4f667ebb9
'210-UMAA--01-Main_English' created: /vmrest/handlers/callhandlers/6d40a774-8501-4fcb-a840-0c368dc46b0d
'215-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/87a81860-b06b-4c37-9047-7dc4f694d7a2
'215-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/54c2a6da-3e0e-492c-9627-42059ecccd92
'217-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/0246cd7a-a94e-47ad-8b72-f37d22e467aa
'218-UMAA-02-Main_English' created: /vmrest/handlers/callhandlers/44a1dfc1-f834-4104-9c13-813dd17464c8
'218-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/34c78442-2631-43a3-8d4d-12d68d681e19
'218-UMAA-03-Main_English' created: /vmrest/handlers/callhandlers/a4d82b39-964b-4de0-890d-f1681e69ff45
'219-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/350c3dc4-3d07-4299-9535-d61a9b3c5731
'219-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/2a6bd02b-d312-47ac-a9a3-2eaa7f2f5381
'219-UMAA-01-Main-English' created: /vmrest/handlers/callhandlers/b3b25f51-73bf-4594-be14-bc4211e9df89
'223-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/78148d80-eb95-406b-acdd-56b6e05058ee
'223-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/df8e7f58-47f8-4d4b-90b9-e0dc03a3dffa
'223-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/c1e63386-fd50-4220-ab88-eb7aa0f035f2
'223-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/59680289-0d57-47ec-9c3f-6ab3342f5d5e
'225-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/084916b5-e61b-48e9-bc9f-cd4abaf5eed9
'225-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/44e91469-b9e8-44a4-bf21-7420e84f7f17
'229-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/b8066895-29ee-44d1-87f6-0cb380a56ef1
'229-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/91130fd3-fad4-4178-b976-413669c83ed2
'229-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/452c7de8-6924-40eb-8860-7fa36ca0f470
'229-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/72abd98b-baa4-476e-856e-9d855c291ce6
'230-UMAA-01-Main_Spainsh' created: /vmrest/handlers/callhandlers/443fa7fc-355a-4e1a-95ba-2b5d256ce68f
'230-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/4064d474-b99a-40fe-8228-dfc7e3688d3b
'230-UMAA-Summer-English-Spanish-2021' created: /vmrest/handlers/callhandlers/d530799c-0e3f-4532-b89c-24ee57d6221d
'235-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/953c736f-0ee3-41ac-bfcc-8c8634a8c532
'235-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/49d5e940-747c-40db-8bc7-adea4c83dbe6
'235-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/4e2bea7f-52b4-453b-8cb9-b9d549df37be
'235-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/7906aabe-4540-424a-8877-36cb31fdfad0
'235-UMAA-Summer2022' created: /vmrest/handlers/callhandlers/93c855f7-32c8-408f-ba0d-75e5a695acca
'236-NORTHUMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/b9033f58-f23b-47dc-a354-99855afa2902
'236-NORTH-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/ff7c26c5-15e5-4bfa-8fd8-a610ad0e281a
'236-SOUTHUMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/ce33ac14-5177-480e-bfd5-00c174195523
'236-SOUTH-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/d4728c3f-c921-45ca-9137-5a8e4bf9b3d7
'237-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/c8f4078f-0554-4f89-a034-426da71bcf4c
'237-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/6cacb316-3f9c-496b-82df-3b775407e007
'243-Rolando_UMAA-01' created: /vmrest/handlers/callhandlers/68347be2-c326-4f34-a3f0-d574bd4374f5
'243-UMAA-01_Summer_Greeting' created: /vmrest/handlers/callhandlers/1b9c77dc-1e94-4b52-9860-514384cc66ea
'247-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/925ffba1-3b3b-4eae-b139-7862c939aa35
'247-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/4fad50ad-baed-4484-93b8-de87a8cd8db8
'247-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/4c28d402-a82a-41f9-8add-a36ab0a749a2
'247-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/98cf85d6-1885-4122-a1fc-ae20e5591083
'249-UMAA-01-Main-English' created: /vmrest/handlers/callhandlers/a0d56790-2bc0-4b0e-a155-ba9d848e0937
'253-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/c8877db5-8b03-45f5-a4c6-e53038d322da
'253-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/e895382e-8fb3-4f2e-8974-1b544adf6bfe
'253-UMMA-01-Main_Winter Break' created: /vmrest/handlers/callhandlers/b8b84a0e-1b79-49e8-9712-2afbcd74fe25
'259-UMAA-Main_English' created: /vmrest/handlers/callhandlers/2dec63eb-0557-40c8-923e-da74e0736f30
'261-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/a483864f-cf5c-497f-9ca2-82c771260784
'261-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/a2fa77d2-21ae-454c-8d14-a8206950dd5e
'267-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/be63495c-20f2-4d35-b7e7-8b6dbc91ecac
'267-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/ae7f6234-8cb2-40ff-9098-9cc80b599b31
'267-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/6ea64a57-c3ad-483a-97aa-5d96c88193fa
'267-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/55521a07-35a5-41e4-ba70-378d6787fa9a
'269-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/5af367da-c9c5-49de-8f17-007af1ef211b
'269-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/265e169a-2577-421d-ba7b-8a6636bcdee0
'271-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/a5a3de09-f719-4823-a917-23b7bee9c968
'274-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/92b59c81-860d-4649-977b-659b9eda7b7b
'274-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/e0a88293-2d78-419c-895b-815d183f84db
'274-UMAA-Summer-2022' created: /vmrest/handlers/callhandlers/1db87ec4-0e10-4253-8a28-871acf181c87
'283-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/b128099b-7745-403e-861f-c00258c4261c
'283-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/c4753bb1-1e76-4fff-aa6a-5d437413b1eb
'284-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/bad95a09-93e9-4aff-95e8-1017f1c9b51d
'284-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/59929064-a838-42a1-9e87-11a6c805eff9
'285-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/f6304cc3-4562-4cc8-a1ce-d9caa558b732
'285-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/06bf07c6-9e2e-4a56-9b49-5ce9043f46d6
'285-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/8710c916-92a3-47c2-8691-546ecc737eed
'285-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/1b1759d2-6861-4218-ad1e-3138139ed73f
'285-CDC-UMAA-01-Main' created: /vmrest/handlers/callhandlers/3eb1201c-cc05-4220-8779-5f4290d1fcfe
'285-CDC-UMAA-02_Spainsh' created: /vmrest/handlers/callhandlers/9bf82ec3-0df4-4834-b668-b7642da4d8a0
'287-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/c349863c-290f-446a-be19-a920b5ad61d4
'287-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/780b9ec6-cbe3-4cd7-bac6-963dad0af150
'287-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/020b4103-9248-444c-a4cd-919dfe6266e1
'287-UMAA02SpanishMain' created: /vmrest/handlers/callhandlers/8937deee-a498-46ee-b476-d758b08834ec
'289-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/6996868d-b666-4d39-ba12-7b4a6fcab655
'289-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/aa9527ef-5d70-42cf-9d12-76982b03f693
'289-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/884fd8d3-2775-44c2-a188-385beb419f4d
'289-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/6bd83312-8fa0-451e-beae-79996763d9f6
'289-UMAA-04-Summer-English' created: /vmrest/handlers/callhandlers/09c7ebc4-07d8-4ba9-913f-e43f76eef369
'291-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/6acb4a12-2bbb-4808-8a2e-b4b7b884d6f1
'291-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/55c8fde8-30e3-4764-b889-c8f8f5c045aa
'291-UMAA-03-Main_night' created: /vmrest/handlers/callhandlers/ec4dd60c-2247-46d5-824d-127fbfef6d04
'291-CDC-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/88580db8-2455-474a-8ef3-3759989142ed
'291-UMAA-01-Main' created: /vmrest/handlers/callhandlers/33f42997-6397-438e-be0b-3a5a7d404d92
'293-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/1063c189-449a-4544-806c-267b0253a1c0
'293-UMAA-Summer-English-2022' created: /vmrest/handlers/callhandlers/809f77dc-7c61-4ccc-8b5f-9e10cfb1cd8c
'302-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/06e3d442-4c13-4a3e-b7ff-6229b49d849c
'302-UMAA-02-Main_English' created: /vmrest/handlers/callhandlers/fdb02b08-2ef1-417e-b83a-92a70b2f6a86
'302-UMAA-04-Main_English' created: /vmrest/handlers/callhandlers/3dca3e04-2291-4d58-90ad-9bba59d88eda
'302-UMAA-06-Main_English' created: /vmrest/handlers/callhandlers/d05d8c4d-07ae-487d-bcf9-9e5a08ce725d
'302-UMAA-05-Main_English' created: /vmrest/handlers/callhandlers/1e48942c-23e2-41b2-a33b-b3a324ff63e2
'302-UMAA-07-Main_English' created: /vmrest/handlers/callhandlers/a01da7b9-73c1-4c52-8700-a19c70ce210a
'302-UMAA-08-Main_English' created: /vmrest/handlers/callhandlers/e1047fd7-8537-4897-b8dd-683961eea79f
'302-Main Spanish' created: /vmrest/handlers/callhandlers/d575970b-e62e-409f-afbc-bb38858e4ccf
'302-UMAA-Hours Spanish' created: /vmrest/handlers/callhandlers/281f9961-9d2e-4b59-9b00-d843ec8699d1
'302-UMAA-Vice Prin' created: /vmrest/handlers/callhandlers/9fca9098-0cd0-46c6-8e9b-7bd1393cc4da
'302-UMAA-Offices' created: /vmrest/handlers/callhandlers/20fa97ec-ee97-4572-85d1-7ec108397384
'302-UMAA-Coun' created: /vmrest/handlers/callhandlers/055fd343-1ae4-40de-8682-4d886b5b4bdc
'302-UMAA-VicePrin-Spanish' created: /vmrest/handlers/callhandlers/b6af3986-0b04-4f39-82e6-62fe1334b498
'302-UMAA-Offices-Spanish' created: /vmrest/handlers/callhandlers/6db621a8-4e38-4b3e-80be-b77164689fe1
'302-UMAA-Coun-Spanish' created: /vmrest/handlers/callhandlers/663702c3-6328-4704-a3cd-de8bdd639ca7
'302-UMAA-Summer-English-2021' created: /vmrest/handlers/callhandlers/0a015114-ac05-4930-864d-e48a3f667ebf
'303-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/efd97431-1d80-4705-ac61-deb28742832f
